"Business_Failure","Revenue","Net_Profit","Debt_Ratio","Market_Share","Age_of_Business","Location_Type","Customer_Satisfaction","Innovation_Index","Rent_Cost","Regulation_Compliance","Number_of_Employees","Social_Media_Followers","Number_of_Branches","CEO_Tenure","Local_Unemployment_Rate","Global_Economic_Growth","Industry_Average_Profit_Margin","Company_ID","Median_Work_Experience"
0,2735161.298,256421.4642,0.01,0.075741894,5,"Rural",4.968299058,68.41080405,12957.17272,1,372,372529,5,1,9.431027271,3.954037246,12.8986451,1,24.1
0,5580203.376,941522.1731,0.6,0.022935856,13,"Rural",3.516587336,19.47127143,43185.4126,1,320,726003,4,1,3.290725421,2.606825135,21.58422703,2,18.6
1,6506225.438,823763.1611,0.43,0.199280728,20,"Rural",2.481172266,27.66661037,29467.79219,1,18,630267,11,20,3.278863493,-4.517558769,15.86966711,3,19.36
0,8282042.952,1309455.379,0.2,0.179014545,0,"Urban",1.904606399,80.26573021,16871.72667,1,345,90729,18,9,14.79197955,-1.283769896,27.99053234,4,7.57
0,2105289.286,85968.7637,0.47,0.125128551,24,"Rural",4.491320937,45.93299338,28933.40282,1,419,507804,42,5,11.82466872,-2.269766482,22.37662401,5,9.97
1,124511.1866,-161930.6502,0.39,0.127235478,8,"Suburban",4.258260848,67.38351014,24091.91744,0,196,339074,49,7,11.14109763,-1.138675502,17.36768484,6,18.1
1,1327015.095,-66067.71011,0.74,0.235734112,24,"Suburban",1.935691283,32.51685019,73673.27957,1,78,307782,30,6,9.596255407,-3.39924341,26.71342294,7,21.61
1,9002787.053,759262.2822,0.53,0.059518079,23,"Suburban",1.802528361,38.74176532,4046.742648,0,167,309554,15,17,19.55431902,-4.022958963,20.30113527,8,4.49
0,8809888.45,1302510.012,0.26,0.246255742,12,"Rural",3.860547107,99.0805433,62128.81204,1,90,928512,6,17,1.946205375,0.209845425,19.77229373,9,22.84
1,6016422.198,1173733.853,0.11,0.194975387,18,"Suburban",2.259808248,25.51409163,76305.47286,1,264,115366,16,13,4.431916347,2.203813109,8.144768661,10,3.04
1,6085062.419,301045.2677,0.41,0.126271962,16,"Urban",2.225595193,51.13918133,48591.62219,1,472,188462,47,12,13.30264739,2.019109019,12.450852,11,24.08
0,6617151.382,603139.2686,0.88,0.137950556,10,"Rural",1.609160988,84.59583198,93224.93302,1,208,446950,40,4,3.590947423,-0.490556778,20.81580593,12,5.11
0,1815470.562,270745.3478,0.33,0.077737515,7,"Suburban",2.055902079,24.68309815,71080.18883,1,212,799231,9,8,12.19823782,0.222789863,26.86195963,13,17.89
0,9112549.496,678772.2071,0.71,0.225882185,22,"Urban",2.71003023,42.10616191,75044.44148,1,271,231341,43,5,11.78746328,0.163287225,10.15087674,14,17.72
0,4131897.898,455650.9104,0.59,0.154349548,4,"Urban",3.931353349,61.89403745,20496.41526,1,263,251349,34,5,19.44909849,1.915703778,7.249083036,15,2.31
1,3797400.711,431024.4966,1,0.096935508,9,"Suburban",2.345232378,48.637627,77952.26201,1,273,67012,27,13,17.78434325,-4.52074824,18.21718339,16,18.13
0,5200558.389,540253.8474,0.93,0.179218985,6,"Urban",2.314417358,46.49072439,83377.37887,1,342,669715,13,11,18.96551353,2.098961089,2.948715845,17,7.14
0,530587.5856,30627.13148,0.71,0.298724601,9,"Suburban",2.13965301,36.8884634,36765.37245,1,214,79283,36,8,3.15844502,0.822009008,21.72170934,18,4.95
1,1686691.636,11042.99722,0.73,0.131143422,3,"Urban",2.91313467,59.07798645,22122.94374,0,374,60382,27,8,17.49482031,-3.018912853,21.39101776,19,2.07
0,7375291.744,1158536.295,0.98,0.276286729,8,"Rural",1.722546792,62.81289709,39120.01724,1,64,58349,9,1,3.452722573,-4.509411463,11.2940149,20,11.98
1,785548.1226,46125.61579,0.45,0.104160035,13,"Rural",2.942522936,65.67566455,74221.18893,1,12,562564,5,13,13.02571139,-3.914722094,26.88765195,21,1.87
1,6070756.14,152941.475,0.31,0.017365079,1,"Rural",3.816702225,7.966442683,42346.26158,1,210,532551,22,5,14.68148505,0.246913414,15.5632531,22,13.85
0,2509218.738,206172.1519,0,0.06206839,24,"Rural",1.119162016,63.4723834,73928.53565,1,312,840742,31,8,4.056216465,2.584085301,19.72718357,23,13.49
1,3913977.365,46668.30737,0.86,0.126189848,8,"Rural",1.039117521,95.3704807,12242.88956,1,174,123944,3,17,13.02052814,-1.653427129,7.077775976,24,0.65
1,2841434.499,341622.437,0.81,0.066670844,20,"Suburban",1.300491641,54.55763732,80795.15934,1,431,366831,30,13,1.996749365,-1.208760893,13.10286972,25,18.89
0,3603605.894,198128.6337,0.02,0.001067884,0,"Rural",3.142640247,71.81144117,26067.54068,1,256,755740,21,9,6.572055629,4.34146415,26.01010867,26,6.13
1,7254630.83,1223777.482,0.72,0.27458546,22,"Rural",4.417820333,56.11649847,25643.96978,0,463,334223,35,2,18.50201138,-2.86986916,7.175246881,27,8.37
0,3054896.783,262871.3863,0.52,0.253319944,9,"Rural",1.019537864,85.61932124,59447.71556,1,101,603248,6,19,4.262892095,-3.962505754,12.32665695,28,9.15
1,5646497.506,457198.863,0.15,0.222945377,9,"Rural",4.746645218,93.02872637,7941.686529,0,16,152315,28,20,2.240129857,-1.565898862,10.22421979,29,18.75
1,4787558.761,284195.6375,0.93,0.051176564,19,"Urban",1.425114046,19.23777003,3603.474942,0,197,791452,32,17,9.429885793,2.459221195,5.382195361,30,11.03
1,6613348.354,501782.2784,0.3,0.036988709,24,"Rural",4.367934112,44.24914362,26841.83786,0,258,607299,42,7,17.16174596,1.260772911,9.401819626,31,5.27
1,9322811.024,1634893.749,0,0.02121382,21,"Rural",2.93141906,39.84582799,54268.68752,1,384,824528,37,3,2.456775257,-0.842045606,7.750396224,32,5.01
1,7407555.46,1409547.428,0.65,0.217484727,2,"Suburban",3.637429549,41.11629721,90854.02224,1,244,405064,25,19,7.755171939,4.647525328,27.78421528,33,4.49
1,2185482.742,42913.73576,0.85,0.27871358,5,"Urban",3.042731938,13.42689394,84797.08245,1,348,356315,32,19,18.09572186,2.349964383,22.49128533,34,1.88
1,386156.9008,8156.987649,0.15,0.12973021,5,"Suburban",2.908192901,81.54795687,49554.19953,1,249,998855,35,9,3.244955449,-4.381385756,10.16694587,35,0
1,2568776.548,323310.7827,0.53,0.036623061,20,"Rural",4.339597713,4.540858058,4668.147376,1,105,47352,22,10,6.902701612,2.446314439,23.13683254,36,11.55
1,5969249.481,1024174.848,0.45,0.154205453,1,"Suburban",4.023545518,53.29443416,53990.02073,1,182,909266,24,14,15.78999162,-4.759614441,1.642058638,37,8.07
1,549158.83,44226.24008,0,0.10530074,17,"Suburban",2.933608946,66.52596042,70774.76439,1,155,456495,39,18,11.32100876,1.503233231,16.26921661,38,7.01
1,4927089.878,520299.2577,0.16,0.113072652,22,"Rural",1.446543718,21.53947437,34577.28872,1,287,924054,30,15,16.81432967,-2.895171637,8.259702348,39,4.32
0,6046851.984,628678.0275,0.42,0.186777857,1,"Urban",1.461611837,90.67916902,11995.26702,1,169,52856,50,1,3.120312468,1.96442209,4.315340082,40,3.57
1,3336820.463,337795.7352,0.38,0.215896716,11,"Urban",4.206157843,84.0163715,28578.22737,1,420,836767,32,6,18.49052926,-1.902204334,26.62899732,41,20.98
1,7734094.68,320381.4593,0.94,0.034070476,21,"Suburban",3.117562485,47.63728922,77387.29758,1,47,352790,31,15,18.7633241,3.73006308,6.780875494,42,11.65
1,1047403.63,-25202.92593,0.92,0.011641479,4,"Rural",2.926356561,41.7037443,35773.1394,1,43,393336,23,6,3.950947383,-1.630861634,24.8493417,43,8.29
1,700906.0636,-37197.7757,0.85,0.298304761,19,"Suburban",3.722267365,24.4202246,81386.16758,1,321,912334,40,18,1.643633824,1.196958554,12.98345765,44,9.98
0,7330258.679,1129238.518,0.38,0.070585776,6,"Suburban",4.435366334,73.26932924,32632.62373,1,306,211425,33,1,19.80698626,-2.140724403,1.414432331,45,7.04
1,4978911.801,191868.4045,1,0.017095327,23,"Suburban",3.515492578,14.04263616,17191.9488,1,221,370665,25,3,10.16278025,4.172215451,22.24345205,46,21.73
0,6899002.525,849007.173,0.39,0.057772723,15,"Rural",4.051391609,68.34353763,44148.98759,1,1,927268,36,17,11.86943268,2.80995981,18.29443299,47,24.91
0,4340016.68,365036.5355,0.37,0.012648396,19,"Rural",4.061082096,84.40324163,45775.17672,1,200,328879,24,16,12.70218994,-2.566971237,10.98098461,48,16.68
0,2489147.794,303142.4505,0.16,0.118151457,0,"Urban",2.425045795,23.61868602,2594.713636,1,441,809757,31,8,16.00370079,4.487967126,9.164832084,49,11.85
1,8256144.025,408824.2445,0.06,0.240918134,0,"Rural",2.096332783,86.77631289,12587.4622,1,144,199345,39,17,16.42777141,-1.428424104,3.137046319,50,0.46
1,7961974.154,919205.274,0.69,0.10303209,16,"Suburban",4.204656269,4.298996745,19307.67586,1,378,893417,46,8,4.684579262,1.518649477,28.30134225,51,19.98
0,6978031.377,744221.9719,0.37,0.133810839,0,"Suburban",2.508715167,91.36595115,12245.14442,1,28,499364,13,17,5.496098072,2.428532311,15.32556166,52,13.6
1,2738854.433,175160.3859,0.28,0.203000445,20,"Urban",4.613344026,12.71786056,34811.08147,1,342,85433,10,9,17.65982755,-4.770978385,3.48021101,53,25
0,5897183.633,733925.2301,0.66,0.153159327,19,"Rural",1.278762787,64.93015862,96497.66271,1,338,695685,23,12,16.57083449,4.589673462,26.19171181,54,12.99
1,3533851.398,403940.3481,0.37,0.25857226,12,"Suburban",1.232870048,25.75816442,51413.03129,0,278,273051,18,19,12.73476825,-1.555586939,9.086162012,55,5.37
0,924305.2869,81135.41643,0.45,0.259944667,8,"Urban",4.70801664,83.81868673,63128.04636,1,41,6502,32,4,19.89928402,-3.102211066,6.904478756,56,22.85
1,9207597.045,707991.9172,0.29,0.003963298,14,"Urban",3.593819657,51.71773573,36282.26137,0,332,4621,33,11,14.96849493,3.507077917,9.147185712,57,24.44
1,1393016.744,200774.3636,0.86,0.233635846,2,"Suburban",2.518397426,14.38887793,33025.2884,1,147,718625,36,4,5.100898594,2.028992828,17.3725723,58,3.58
1,9430937.465,1066013.901,0.89,0.138759346,13,"Suburban",4.020241659,57.52816556,3291.53042,1,345,775273,28,14,17.08623722,-4.132567274,3.14763805,59,17.85
0,4527950.429,250353.5864,0.57,0.296663322,22,"Rural",3.68930724,41.38037841,50533.03191,1,178,901225,16,14,8.879920091,-3.829554186,14.97095036,60,22.35
